user_id,city,rating,date,comment
程博衍的杂豆粥,,力荐,2019-06-28,一⭐两⭐的是跟主创有多大仇啊😒至于吗ps.好不喜欢看谈恋爱，不爱看张小敬跟檀棋，张小敬跟闻染，龙波跟鱼肠…妈的鱼肠为啥是个女的有人告诉我吗:）
悬丝傀儡,北京,很差,2019-06-28,一星
食肉小野马,北京,很差,2019-06-28,叙事很糟糕，糟蹋了一个本来很好的故事，浪费了那么多钱、那么好的演员。1集弃
怪兽老子,上海,很差,2019-06-28,不符合我的看剧要求，不喜欢
抖森夫人,上海,很差,2019-06-28,易烊千玺台词是真的差 面部没有任何起伏 表情也控制的很失败 实在是颠覆以往对他好的印象 小荧幕都这样了。。。
candyli,北京,力荐,2019-06-27,开场惊艳极了，真正的电影质感。比起《妖猫传》的长安盛世也毫不逊色，大气磅礴！低饱和度的调色增强了历史的厚重感，更容易入戏，运镜是教科书极别的，近景远景的切换自然巧妙，国产剧中难得一见。四字弟弟的原音好评，超大段的台词用他最舒服的状态说出来非常自然，小公子未来可期！
农燕萍,,很差,2019-06-28,真啰嗦
全国平安平安,广东广州,很差,2019-06-28,弟弟真的不适合古装啊……
很好很会吃米,"Vancouver, Canada",力荐,2019-06-28,都！给！我！去！看！第六集！！！！！！！！！！！！！！！
妖妖灵,,很差,2019-06-28,呵呵
新垣结衣,湖北武汉,很差,2019-06-28,一颗星都不太值呢
小汤圆,,很差,2019-06-28,拍得太烂了，真的不好看！
重生,北京,很差,2019-07-01,呵
张凯Jacky,,很差,2019-07-06,装模作样，故弄玄虚
梦想家,,较差,2019-06-28,看了两集，实在看不下去了，这样的剧情实在，吸引不了观众
柯基,上海,很差,2019-06-28,唉，不喜欢就是不喜欢
jhffhj,广东深圳,力荐,2019-06-28,我是马亲王的忠实粉丝，特别喜欢这部小说，作为小说原著粉来说，这部剧还是满意的，班底不错，用心在制作，服装质感好，画面精致，演员演技在线，我会一直追下去。
小江湖骗子林羽竹,四川成都,力荐,2019-06-27,太好看了！剧情紧凑，没看原著还略微有点儿跟不上。居然极其低调的一次性放出十二集……做这种剧集优酷才能成为网飞啊。有原著加持就已经成功一半，摄影、动作、美术和配乐实在过于出彩，看雷佳音飞檐走壁有几刻还真是想到《绣春刀2》了。易烊千玺演得还可以。唯一不足之处是，看得出因为预算原因和剧情原因，比如长安大街和建筑场景还是小气了一些。韩国今年有《王国》，国产古装剧今年不出意外应该本作是最佳了。其他6分以下的国产剧还不赶紧以死谢罪
宥茶,福建厦门,力荐,2019-06-28,毫无疑问，这样的IP剧拍得再好，键盘侠也不会认可和点赞的
弥桥,湖南长沙,力荐,2019-06-27,"突然开播？！豆瓣提醒我有播放资源了我还不敢相信！
总体，不负期待。服化道很棒，目前剧情走向很紧凑，只希望后期剪辑友好。
四字弟弟，大头叔叔（雾）冲鸭！"
紫竹缘林,河南郑州,力荐,2019-06-27,雷佳音的演技是公认的实力派，而他在这部戏里我感觉又升了一个档次，易烊千玺在拍这部戏的时候还没进入中戏经过专业且系统的学习，所以在这些老戏骨面前确实可能有些青涩，但在剧里绝不出戏，有的点，眼神很有感觉，有戏，也演的很有感染力，所有人都是用的原声。记得当时看原著的时候，每一章每看一遍，感受都不同
碧桐,,很差,2019-06-28,易烊千玺的台词和演技差，雷佳音的大头，太丑
凹凸,上海,推荐,2019-06-27,"《绣春刀》之后又看雷佳音演古装剧，台词功力太厉害，一开口就是戏。
有被制作惊艳到，光看开场的长安城长镜头就知道出手不凡，之后一段室内打戏的穿墙长镜头更是调度惊人。不仅摄影构图和后期滤镜考究，配乐和服道化也都是电影级的精良制作，现在连网剧都这么有水准了么？
头几集就铺了个大局，先给四星，持续观望下。"
我们不怕,,力荐,2019-06-27,等了好久 曹盾一雪前耻 节奏 画面 情节都是顶级 周一围的反派狠绝  孤傲 充满魅力
你说啥,广东广州,很差,2019-06-28,把原本的小说缩短了那么多，结果剧情还是不知所云，演员除了雷佳音外都让人难以忍受，雷佳音也没有在电影里那么出色，现在的改编网剧真是让人堪忧
D,,很差,2019-07-01,易烊千玺……
19个喜欢,,很差,2019-07-17,嗯??在干嘛
落tear爱,,很差,2019-07-07,yyqxtaichoylw
不知道用什么ID,,较差,2019-06-28,看了两集，这两星是给雷佳音的，另一位台词真的差，和雷佳音的对手戏，被秒成渣。
waterfall,,很差,2019-06-28,台词太差了
ewe,,很差,2019-06-27,佳音和一围两个油腻男挺登对。
桐荫,浙江杭州,力荐,2019-06-27,"开篇一个长镜头下来就是烟火气息。盛唐绝对不仅华丽的珠翠和威严的冕旒，市井的炉火和声嚣也很吸引人，游侠和僧侣，贩夫和走卒的日子，谋划和追捕，扣人心弦
如今能上映这是皆大欢喜。"
clairo,四川绵阳,较差,2019-07-04,四字好丑
北海道的秋刀鱼,"Dresden, Germany",较差,2019-06-28,不好看。
烛息,浙江温州,很差,2019-06-28,期望过高 一言难尽
敕令梦,,很差,2019-07-24,不必了
吃胶片的考拉,北京,推荐,2019-06-27,超出预期太多，完全是惊喜。制作层面完全不含糊，今年到目前为止最“好看”的国剧。第一集很棒，看得出情节设置的精巧，没看过原著的话，非常期待故事走向。两位主演都有加分，雷佳音就不说了，是真的没想到易烊千玺演技这么成熟，刮目相看。
给爷跪下,黑龙江哈尔滨,很差,2019-06-28,看着真累，易烊千玺台词像嘴里塞了袜子，不看字都不知道念的啥经，跟周杰伦有一拼了。
[已注销],,很差,2019-07-02,装神弄鬼
山河如梦,,很差,2019-07-19,看到第二十三集就看不下去咯
小仙阿白,上海,很差,2019-07-19,真的不怎么样
kleinblack,湖北武汉,很差,2019-07-20,典型高开低走，疯狂想捞回投资的放水之作
🍑peach,,很差,2019-07-20,好难看
Xellos_s,,很差,2019-06-30,别再吹了。
嗯,上海,力荐,2019-06-28,作为书粉和历史爱好者，不得不夸一下剧组的服化道，还有打光摄影等，好几个长镜头和一镜到底，看着真的很爽。演员方面几个老戏骨自然不用说，易烊千玺的表现也足够惊艳，这部戏的拍摄时间是17年，那时候他应该才17岁，有这样的表现真的足够惊艳。特别是原声出镜，说那么长的台词，但说话的语气，表情都非常好
唐僧洗头爱飘柔,,很差,2019-06-30,就易烊千玺那张脸，反胃
刘思楠,云南昆明,很差,2019-06-28,小鲜肉的台词功底不忍直视
我太难了,重庆,力荐,2019-06-27,"看了前几集，感觉很不错。
两人对峙那场戏，很有质感，让人入戏。
雷佳音的演技绝了，特别期待后面的剧情，不是一般的精彩。
易烊千玺的表现让人眼前一亮，继续加油。
一大段一大段的古文听着好爽，我爱古文，很有感觉。
演员们都用的原音，听着很舒服。
细节到位，演技在线，台词古文。
一起期待吧，看好这部剧。"
琢磨,北京,很差,2019-07-05,简直了
一片朦胧,,很差,2019-07-02,易烊千玺也太丑了吧，口区
风子on the way,,很差,2019-06-30,。。。太可怕了
yancy,"Kuala Lumpur, Malaysia",力荐,2019-06-27,"是我喜欢的题材。是我喜欢的导演。里面3个主演都是我比较喜欢的。非常期待。希望编剧给力。不要把它变得拖泥带水

我绝望了。它60集😭编剧如果能把每一集都能做满了必须要超级厉害吧

看了。节奏没有我以前想的脱泥带水！不专心看会跟不上！满意了！

易烊千玺意外的不错。雷佳音一出声就很抢耳。意外发现他声音很有磁信很好听"
杨公子的黑,北京,很差,2019-06-29,太能装了
夏天的风,辽宁大连,很差,2019-06-28,劝退，不好看
草原上的马,,力荐,2019-06-28,这电影级别的制作我真的服气了，演技摄影节奏简直不要太好，目前为止我看到的最好的古装剧
Hideo,"P'yŏngyang, North Korea",推荐,2019-06-27,先说优点，服化道是完整的，近景也没露怯，可以把人拽入到时代的氛围里。调色和一些运镜和节奏有电影感，大部分人的表演也没有拖后腿，台词文本层面不出戏，信息量也足，比片汤儿话一堆水日常的戏要好得多。再说缺点，一切都显得太干净了，不够脏。我希望在城门上看到磨损和灰尘的痕迹，人均(包括阶下囚)一口大白牙让人对那个时代的牙科水平惊异。这剧还有一个让人心生好感的地方就是，没有拍得又臭又长，要是五六十集，那可真一点想看的欲望都没有。
预谋邂逅,上海,很差,2019-06-28,美四真的，这张高级脸哟，安心做个杂志咖不好吗。
黑色星期五,,推荐,2019-06-27,剧的制作还是很良心的，雷佳音表现不错，易烊千玺的表现倒是让人惊喜。
可爱的一只喵,American Samoa,很差,2019-06-29,他就是败笔
大权,,很差,2019-06-28,因为易烊千玺的演技 所以给一分
大白,吉林长春,很差,2019-07-02,恶
今天奶茶去冰吗,广东广州,很差,2019-06-28,太难看了这都什么
已注销,北京,很差,2019-06-29,看不下去了，易祥千玺长得好丑啊，台词说的黏糊糊的，有气无力，还有讲话竟然喷口水！！！！！好恶心！雷大头怎么忍下来的？？？？
骤雨至,,推荐,2019-06-27,先前看小说的时候就觉得这是一个非常适合改编成影视作品的故事，只要遇上靠谱的制片方就一定不会难看，老早就期待着了，所以剧集一上线就看起来。记得最开始设定成48集，看到的时候还抱怨肯定又要疯狂注水了，现在删减成26集了？那看来也不会拖沓，还真的挺不错的。很喜欢开篇用一曲小调引入的形式，长安人情图中暗藏着怀有狼子野心的外族贼子，喜乐与繁华里是足以颠覆王朝的危机。如此长安，怪不得有这么多人愿意舍了身家性命倾尽全力去保护。雷佳音一直是我喜欢的演员，剧集中删除了张小敬瞎了一只眼的设定，但并没有削弱他的狠戾和果决。易烊千玺倒是还挺意外之喜，没有初次演戏的生涩，诠释得挺不错的。
又酷又嗲,,很差,2019-07-24,又臭又长
柠檬树下,北京,力荐,2019-06-27,看了十集。改编走心，演员专心，舞美用心，古装剧里少见的良心剧。易烊千玺的扛鼎之作，从出现在镜头里的那一刻起，就令人刮目相看了，面对十七岁的自己，他真是太赞了👍。
爱情雨,湖北武汉,很差,2019-06-28,不行
狗屎诗人,北京,很差,2019-06-28,"看到导演是曹盾这货，看过他的海上牧云记对长安十二时辰基本不报希望了。
可惜了这么好的小说
今天看了一集，不愧是曹盾，成功在十分钟内毁掉了原作最大的闪光点。"
不想起床,,力荐,2019-06-29,有的人非得打一星来显示自己的逼格？
呼吸呼吸,浙江杭州,力荐,2019-06-27,看完了前面12集，现在很疑惑到底谁才是内奸！
Akimoya,上海,力荐,2019-06-27,李泌好酷！！易烊千玺好帅！！！我感受到了我的爱情
圆滚滚是我哟,,很差,2019-07-02,有点尴尬
七杀场,北京,力荐,2019-06-27,感觉没港台的掺合，大陆班底慢慢走回正轨了！
